id,external_id,name,equipment,muscle,category,has_gif,gif_url,illustration_slug,match_method,frame1,frame2,frame3,status
"1078","spine/two-toe-touch-male","Two Toe Touch Male","bodyweight","spine","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/spine/two-toe-touch-male.gif","toe-touch","fuzzy(0.50)","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/toe-touch/frame-1.svg","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/toe-touch/frame-2.svg","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/toe-touch/frame-3.svg","both"
"1079","spine/upward-facing-dog","Upward Facing Dog","bodyweight","spine","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/spine/upward-facing-dog.gif","","","","","","gif_only"
"1080","spine/weighted-hyperextension-on-stability-ball","Weighted Hyperextension On Stability Ball","bodyweight","spine","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/spine/weighted-hyperextension-on-stability-ball.gif","","","","","","gif_only"
"1081","traps/band-shrug","Band Shrug","band","traps","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/traps/band-shrug.gif","shrug","exact","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/shrug/frame-1.svg","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/shrug/frame-2.svg","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/shrug/frame-3.svg","both"
"1082","traps/barbell-shrug","Barbell Shrug","barbell","traps","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/traps/barbell-shrug.gif","shrug","exact","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/shrug/frame-1.svg","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/shrug/frame-2.svg","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/shrug/frame-3.svg","both"
"1083","traps/cable-shrug","Cable Shrug","cable","traps","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/traps/cable-shrug.gif","shrug","exact","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/shrug/frame-1.svg","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/shrug/frame-2.svg","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/shrug/frame-3.svg","both"
"1084","traps/dumbbell-decline-shrug-v-2","Dumbbell Decline Shrug v2","dumbbell","traps","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/traps/dumbbell-decline-shrug-v-2.gif","","","","","","gif_only"
"1085","traps/dumbbell-decline-shrug","Dumbbell Decline Shrug","dumbbell","traps","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/traps/dumbbell-decline-shrug.gif","shrug","fuzzy(0.50)","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/shrug/frame-1.svg","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/shrug/frame-2.svg","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/shrug/frame-3.svg","both"
"1086","traps/dumbbell-incline-shrug","Dumbbell Incline Shrug","dumbbell","traps","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/traps/dumbbell-incline-shrug.gif","shrug","fuzzy(0.50)","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/shrug/frame-1.svg","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/shrug/frame-2.svg","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/shrug/frame-3.svg","both"
"1087","traps/dumbbell-shrug","Dumbbell Shrug","dumbbell","traps","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/traps/dumbbell-shrug.gif","dumbbell-shrug","exact","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/dumbbell-shrug/frame-1.svg","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/dumbbell-shrug/frame-2.svg","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/dumbbell-shrug/frame-3.svg","both"
"1088","traps/kettlebell-sumo-high-pull","Kettlebell Sumo High Pull","kettlebell","traps","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/traps/kettlebell-sumo-high-pull.gif","","","","","","gif_only"
"1089","traps/lever-gripless-shrug-v-2","Lever Gripless Shrug v2","lever","traps","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/traps/lever-gripless-shrug-v-2.gif","","","","","","gif_only"
"1090","traps/lever-gripless-shrug","Lever Gripless Shrug","lever","traps","strength","true","https://cdn.jsdelivr.net/gh/JahelCuadrado/ExerciseGymGifsDB@v1.1.0/traps/lever-gripless-shrug.gif","shrug","fuzzy(0.50)","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/shrug/frame-1.svg","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/shrug/frame-2.svg","https://cdn.jsdelivr.net/gh/bryllim/workout-guide@ba0b709cb20430361b2cb33aaadd20998164a916/packages/workout-guide/assets/shrug/frame-3.svg","both"
